"course","section","semester","size","max","time","tag","dept","dept2","dept3","dept4","description"
"The Wild & the Cultivated","01","F22",35,36,"Tuesday/Thursday | 10:00 AM - 11:20 AM",207,"ENST","HIST",NA,NA,"For thousands of years, wild and domesticated plants have played crucial roles in the development of cultures and societies. Students in this course will consider human relationships with plants from a global-historical perspective, comparing trends in various regions and time periods. We will focus on the Neolithic Agricultural Revolution, seed-saving practices, medicinal plants, religious rites, food traditions, biopiracy, agribusiness, and biofuels. Two class meetings per week."
"Theoretical Foundations","01","F22",13,50,"Monday/Wednesday/Friday | 12:00 PM - 12:50 PM",401,"COSC",NA,NA,NA,"This course covers basic mathematical concepts that are essential in computer science and then uses them to teach the theory of formal languages and machine models of languages. The notion of computability will be introduced in order to discuss undecidable problems. The topics covered include: regular, context-free and context-sensitive languages, finite state automata, Turing machines, decidability, and computational complexity. Offered in alternate years."
"Third-Year Arabic I","01","F22",2,18,"Monday/Wednesday/Friday | 8:30 AM - 9:50 AM",301,"ARAB",NA,NA,NA,"The goal of this course is to help students achieve an Intermediate Mid/ High level of proficiency in Modern Standard Arabic. Students engage with Modern Standard Arabic and one Arabic colloquial variety using the four-skills approach. By the end of the course, students will consistently be able to:Read texts on unfamiliar topics and understand the main ideas without using the dictionary. Text types will address a range of political, social, religious, and literary themes and will represent a range of genres, styles, and periods;Understand sentence-length speech in basic personal and social contexts dealing with topics of current political, social and cultural interests;Speak about themselves and others, initiate and sustain conversations on a variety of subjects, describe and narrate in all major time frames;Engage in written discourse dealing with impersonal and/or abstract topics.Continue to deepen knowledge of Arab cultures, including their histories, politics, and literatures, learn and use increasingly sophisticated grammatical and rhetorical structures, and add approximately 500 new words and expressions to your active vocabulary."
"Third-Year Chinese I","01","F22",9,0,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",301,"CHIN",NA,NA,NA,"This course, alongside Chinese 302 in the spring semester, is our third-year class offered for students who have completed the first two years of Mandarin Chinese. We continue to emphasize pronunciation and intonation, practice listening and speaking, and work to improve our command of grammar with more complex syntax structures. The class will see a switch from textbook materials to selective authentic texts for the general Chinese reader, and introduce the students to a variety of topics, genres, and speech types ranging from literary works to media and popular cultural materials. Exposed to a significantly larger vocabulary, the students read and write with the aid of a dictionary as the class prepares them to become independent readers of idiomatic Chinese for the fourth-year level. The course meets five times per week."
"Third-Year Russian I","01","F22",6,18,"Monday/Wednesday | 2:00 PM - 3:20 PM",301,"RUSS",NA,NA,NA,"This course advances skills in reading, understanding, writing, and speaking Russian, with materials from twentieth-century culture. Readings include fiction by Chekhov, Babel, Olesha, Nabokov, and others. Conducted in Russian, with frequent writing and grammar assignments, in-class presentations, and occasional translation exercises. Two seminar-style meetings and one hour-long discussion section per week."
"Toni Morrison","01","F22",6,15,"Monday/Wednesday | 2:00 PM - 3:20 PM",338,"BLST","ENGL","SWAG",NA,"This course examines a significant portion of Toni Morrison's body of work. Taking a primarily thematic approach, we will read several novels, essays, and other writings by Morrison. Our readings will also include critical reception of, and the wide-ranging scholarly reflections on Morrison's work and her contribution to American and Black Diasporic literatures. Assignments will include: oral presentations, essays, and a research project."
"True Crime","01","F22",27,29,"Monday/Wednesday | 2:00 PM - 3:20 PM",108,"ENGL","FAMS",NA,NA,"Unlearning Media is a module of introductory film and media courses that seek to learn new ways of understanding or making media by unlearning everything we believe we know about them. Focusing on a range of contemporary media phenomena, and taught by FAMS instructors specializing in critical studies, creative practices, or both, Unlearning Media courses delve deep into our relationships with media forms, devices, or practices that we secretly love, openly resent, or have simply stopped noticing. By turning things sideways and pausing on unexpected details, or taking the time to explore hidden alleyways and histories, we will discover how media get under our skin and shape what we believe to be true-and how they might yet unlock our imagination of what could be. In"
"True or False","01","F22",16,20,"Monday/Wednesday | 12:30 PM - 1:50 PM",329,"FREN",NA,NA,NA,"How can we be certain of the veracity of what we perceive? What do we do when our methods and objects of knowledge are put into question? What is meant by ""fact,"" ""evidence,"" ""reality,"" ""truth,"" ""theory,"" ""fiction,"" ""opinion,"" ""belief,"" or ""falsehood""? What are the factors that grant authority to certain figures and media, and what are the elements that lead us to dismiss others as unreliable sources? Is the distortion of reality always harmful, or can it help to unveil certain truths? How do we reconcile our search for reality with our desire for fiction? To what extent is fiction beneficial, and even necessary, and when does it become dangerous?These are some of the questions that will guide our study of works of fiction and non-fiction from the sixteenth and seventeenth centuries. With a focus on early modern France, the course may address subjects such as language and knowledge, developments in science and technology, the burgeoning gazette or news industry, the European encounter with the American continent or ""New World,"" the French wars of religion, and the culture of dissimulation. Readings may include figures such as Par'e, Marguerite de Navarre, Montaigne, Aubign'e, Descartes, Galileo, Georges and Madeleine de Scud'ery, and Madame de Lafayette. Conducted in French."
"Urban Economics","01","F22",16,15,"Tuesday/Thursday | 11:30 AM - 12:50 PM",414,"ECON",NA,NA,NA,"Much of urban economics focuses on the origin and development of cities. But, more generally, urban economics is the study of the role of location/space in the decision-making of households and firms. Among the topics that may be addressed in the course are modern trends in urban development, such as suburbanization and gentrification; agglomeration of economic activities, such as advertising in Manhattan and hi-tech in Silicon Valley; provision of local public goods, such as K-12 education and mass transit; and housing policy and land use regulation, such as low income housing and zoning. The course combines relevant economic theories and models with discussion of current policy issues."
"US Econ Hist 1600-1860","01","F22",30,30,"Monday/Wednesday | 12:30 PM - 1:50 PM",271,"ECON",NA,NA,NA,"The economic development of the United States provides an excellent starting point for an understanding of both this nation's history and its current economic situation. We begin with the colonial period and the creation of the nation and end with the Civil War and the breakdown of the Union. Throughout we provide an economic reading of the events and try to explain the conflicts and resolutions in economic terms."
"US Environ. Policy","01","F22",27,0,"Tuesday/Thursday | 2:30 PM - 3:50 PM",250,"ENST",NA,NA,NA,"This course is built around core readings on key policies and agencies of environmental governance in the US. It will provide students with a strong grasp of the most important environmental legislation in the United States. We will explore how existing environmental laws and institutions have provided important environmental protections, and also where they have fallen short. We will also ask how environmental racism and other forms of inequality have been addressed or exacerbated by historical policies, with an eye towards identifying promising alternatives in the future. Students will examine the relationships between local, state, and federal agencies carrying out environmental governance. This class will explore how policy is ""political,"" and how it emerges from the actions of competing interest groups.Pre-requisite: ENST-120."
"US in Wld: 1756-1898","01","F22",35,40,"Monday/Wednesday | 10:00 AM - 10:50 AM",156,"HIST",NA,NA,NA,"This course is an introduction to the major trends and developments in United States foreign relations from the nation's rise from a loose coalition of colonies on the Atlantic seaboard to a continental and world power by the beginning of the twentieth century. This course will seek to understand the effect of expansion on the nation's values, institutions, and history, and examine the methods used to extend the nation's borders, trade, and influence. It engages ""foreign relations"" in broad terms to incorporate ideology, race, gender, technology, economics, geopolitics, and culture as important forces in shaping the United States' understanding of and behavior toward the world. The country's domestic character critically determined the ways in which the nation's power took shape on the world stage, even as global interactions shaped nascent U.S. institutions and identities. This course will examine how economic and security needs shaped foreign policy goals, while social norms and domestic values informed the ways Americans interacted with other societies. Three class meetings per week."
"Utopia","01","F22",29,30,"Tuesday/Thursday | 11:30 AM - 12:50 PM",247,"EUST",NA,NA,NA,"""Utopia,"" in Latin, means there is no such place. The course is a broad exploration, across time, space, cultures, and languages, of the quest for no-such-place, at times understood as a return in time, or to our origins, or an alternate reality Sources include the Hebrew Bible, Christianity, medieval Muslim philosophy, Buddhism, the Enlightenment, Capitalist, Communism, millenarianism, Feminism, science and technology, religious fundamentalism, racial purism, and political cults. Class discussions will rotate around the Mayan book Popol Vuh, More's Utopia, Montaigne, Swift's Gulliver's Travels, false messiahs, Marx and Engle's Communist Manifesto, Herzl's The Jewish State, Soviet propaganda, Huxley's Brave New World, as well as around Fidel Castro's Cuba, North Korea, Disneyland, shopping malls, social media, green politics, and SF. Multilingual students will be encouraged to delve into various linguistic traditions, in tongues like French, Russian, German, Yiddish, Esperanto, and Spanish. Students will engage in creative-writing meditations. Conducted in English."
"Video Production","01","F22",13,14,"Monday/Wednesday | 1:00 PM - 4:00 PM",221,"ARHA","FAMS",NA,NA,"This introductory course is designed for students with no prior experience in video production. The aim is both technical and creative. We will begin with the literal foundation of the moving image-the frame-before moving through shot and scene construction, lighting, sound-image concepts, and final edit. In addition to instruction in production equipment and facilities, the course will also explore cinematic form and structure through weekly readings, screenings and discussion. Each student will work on a series of production exercises and a final video assignment."
"Vladimir Nabokov","01","F22",9,0,"Monday/Wednesday | 3:30 PM - 4:50 PM",225,"ENGL","RUSS",NA,NA,"This course looks at the fiction and career of Vladimir Nabokov, a trilingual fiction writer of genius and a sophisticated self-promoter. As a liberal aristocrat living in exile in Berlin and Paris during the 1920s and 1930s, the young Nabokov was hailed as the hope of an entire generation of 'emigr'es - artists and writers forced out of their homeland following the Russian Revolution. We first examine this European career in its publishing and media contexts, including his writing for translation into German, French, and English and for adaptation into screenplays for silent and early sound cinema. We then track to his move to America and discover how a transnational career is crafted. Modernist fiction of this period was shadowed and overshadowed by a burgeoning film industry: we will watch a number of great movies from the silent and early sound era, including some of the masterpieces of Weimar cinema by the directors who would go on to create film noir in Hollywood. We will focus on a range of Nabokov's darkly comic novels: The Luzhin Defense, Laughter in the Dark, Invitation to a Beheading, Lolita, Pnin, and Pale Fire. During the course we will learn through Nabokov's fiction to appreciate the subtleties of irony, voice, and parody; to think more deeply about the relation between history and culture (how do events engender works of art?); and to study the interaction between literature and visual culture. All readings in English."
"Voices From Bygone Time","01","F22",8,10,"Tuesday/Thursday | 1:00 PM - 2:20 PM",221,"EUST","MUSI",NA,NA,"Monks living in monastic seclusion, troubadours serving their ladies and fighting wars, mad princes writing complicated polyphonic music, male castrato singers celebrated as the pop-stars of opera houses are just a few of the fascinating characters who participated in music making from the Middle Ages until the middle of the eighteenth century in Europe. The music they produced is frequently called ""early music,"" a falsely unifying label that hides the kaleidoscopic nature of this fantastic repertory, ranging from monophonic chant to opera. In this course we will study how the invention of musical notation affected the development of music, turning an oral tradition of chant into a written tradition of complex polyphonic textures unimaginable without the help of notation. Reading historical documents and listening to selected pieces of music, we'll visit the soundscape of this bygone time that still influences our thinking about music. Assignments include listening, reading, and short papers. Knowledge of musical notation at least at the rudimentary level is recommended."
"Voting and Elections","01","F22",23,24,"Monday | 1:00 PM - 1:50 PM",150,"MATH",NA,NA,NA,"The outcomes of many elections, whether to elect the next United States president or to rank college football teams, can displease many of the voters. How can perfectly fair elections produce results that nobody likes? We will analyze different voting systems, including majority rule, plurality rule, Borda count, and approval voting, and assess a voter's power to influence the election under each system, for example, by calculating the Banzhaf power index. We will prove Arrow's Theorem and discuss its implications. After exploring the pitfalls of various voting systems through both theoretical analysis and case studies, we will try to answer some pressing questions: Which voting system best reflects the will of the voters? Which is least susceptible to manipulation? What properties should we seek in a voting system, and how can we best attain them?"
"Water As Leitmotif","01","F22",13,14,"Wednesday | 2:00 PM - 5:00 PM",162,"ARHA",NA,NA,NA,"This interdisciplinary introductory course focuses on water as a poetic and political space of exploration. Through the discussion of critical and creative texts, visual and cinematic analysis, and a direct engagement with water, we will examine water as a material for making, a healing practice, a site of ecological consciousness, a messy and contaminated place, and a medium/form of physical and psychic reorientation. The course content is informed by queer- and feminist-making practices, as well as contemporary environmental thought and aesthetics. Together we will speculate on new practices of intimacy, kinship, and care-based relations through the lens of water and fluidity. Throughout the semester, students will make individual works using varying media including: drawing, performance, photography and video."
"West African Religion as Philosophy","01","F22",4,18,"Monday/Wednesday | 2:00 PM - 3:20 PM",223,"BLST","RELI",NA,NA,"This course explores the structure, beliefs, and practices of West African indigenous religions with an eye to their deeper philosophical meanings. We will examine several West African religions from the perspective of experts and practitioners who present the underlying philosophy of these traditions, exploring their epistemology (how knowledge works) and metaphysics (the nature of being). We will focus on concepts of the person, the word, the world, and community as well as the important role of orality as the foundational paradigm of this philosophy."
"Witch Hunt!","01","F22",16,25,"Wednesday/Friday | 12:30 PM - 1:50 PM",370,"ENGL",NA,NA,NA,"What was magic in the early modern world? Why did it cause a crisis in the sixteenth and seventeenth centuries? How did that crisis shape the literature of its time? We will follow competing ideas about magic as they ran like wildfire through the imagination of artists, playwrights, and preachers from medieval Germany through Renaissance England to Puritan Massachusetts. We will ask how magic in its apparently beneficial forms, such as alchemy and astrology, might relate to the supposedly malevolent practices of witchcraft, which yielded notorious trials and brutal executions on both sides of the Atlantic. Why did cultures balanced between religion and science become obsessed with magic? How did the fear and wonder that it evoked find its way into art? And what can literary figures of witches and sorcerers still tell us about our modern fantasies of self-empowerment and the counter-threat of demonic possession?"
"Witch/Vampire/Monster","01","F22",17,20,"Tuesday/Thursday | 1:00 PM - 2:20 PM",310,"ARHA","EUST","SWAG",NA,"Our course will explore how evil was imagined, over cultures, centuries and disciplines. With the greatest possible historical and cultural specificity, we will investigate an array of monstrous creatures and plagues -- their terrifying powers, the explanations for why they came to be, and the strategies for how they could be purged -- as we attempt to articulate the kindred qualities they shared. We will study centuries-old witch burning manuals, and note the striking degree to which dangerous tropes -- about women, about pestilence, about dangerous sexuality, and about differences of all kinds -- have continued to our day. Among the artists to be considered are Vel'azquez, Goya, Picasso, Dal'i, Bu~nuel, Dreyer, Wilder, Almod'ovar, and the community who made the AIDS Quilt.This course fulfills a requirement for the Five College Reproductive Health, Rights and Justice certificate.Not open to first-year students."
"Working in Series","01","F22",6,9,"Tuesday/Thursday | 9:00 AM - 11:00 AM",319,"ARHA",NA,NA,NA,"An investigation of ideas into the development of visual imagery focusing on series of works utilizing drawing and printmaking. Contemporary and historical references of artists' series of works will be studied in conjunction with students' individual projects, culminating in a final project consisting of a cohesive, visual body of work. Experimentation of conceptual and technical boundaries will be encouraged and explored. Discussion and critiques will be held regularly in both group and individual formats. Visual work will include a wide variety of drawing media, including, but not limited to traditional methods. The techniques of intaglio and relief printmaking will be used in combination with and concurrent to the drawn images."
"World War I","01","F22",36,40,"Monday/Wednesday | 12:30 PM - 1:50 PM",130,"EUST","HIST",NA,NA,"The image of the First World War is so iconic that it can be evoked through a handful of tropes: trenches, machine guns, mud, ""going over the top,"" crossing ""no man's land."" Yet in many ways this is a partial vision, one that focuses myopically on the experiences of European soldiers who occupied a few hundred miles of trenches in northern France. Why is it that a conflict as unprecedented in its size and complexity as ""the Great War"" has been reduced in our minds to this very limited scale? This course both explores the role of World War I in our cultural imagination and aims to create a broader, messier, and more complicated portrait of the history. It will examine the conflict on multiple fronts, studying the perspectives of both European and non-European soldiers and civilians, and analyze the war's role in shaping the twentieth century. Two class meetings per week."
"Writing (About) the News","01","F22",15,16,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",115,"ENGL",NA,NA,NA,"This course explores media literacy and the rhetoric of news through readings of a range of multimedia news and academic articles. It asks students, through critical writing, to come to terms with our responsibilities as engaged citizens for understanding, and acting on, the information we encounter in the news. Together, we will examine the way that journalists present the written word in print and digital spaces to inform, analyze, and present opinions-as we do the same in our own writing. We will pay close attention to the way that reporter teams explicitly and implicitly build arguments, use evidence, organize texts, and edit their own work, with an eye on developing strategies for using these skills in class assignments, and transferring them to other classes as well. Through writing projects that ask students to examine conversations on current events, particularly those relating to social and racial justice, students will develop skills to evaluate and contribute to the multimedia news landscape.Preference given to first-year Amherst College students."
"Writing about China","01","F22",4,12,"Tuesday/Thursday | 10:00 AM - 11:20 AM",108,"ASLC","POSC",NA,NA,"This is an introductory intensive writing course on China. As such, we will focus on the fundamentals of reading and writing to help students develop clear and persuasive writing styles. We will also pay close attention to understanding and critiquing academic sources. Students will be expected to engage in frequent in-class writing and attend regular writing consultations.Chinese politics is replete with tensions between opposing forces: modernity and tradition, economic growth and societal protections, central government and local government, top-down mandates and bottom-up pressures, ideology and expertise, state control and market forces, continuity and change. This course examines these tensions and their effects on state-society relations and authoritarian governance during communist party rule in China. We will learn how to apply different reading strategies to examine a variety of sources that shed light on these tensions, including speeches, films, government documents, news media, and academic sources. Through frequent short papers, students will incorporate different types of evidence to make compelling arguments regarding the strategies that the Chinese party-state has used to maintain stability amid myriad challenges."
"Writing Poetry I","01","F22",13,12,"Tuesday | 2:30 PM - 5:30 PM",221,"ENGL",NA,NA,NA,"A first workshop in the writing of poetry. Class members will read and discuss each others' work and will study the elements of prosody: the line, stanza forms, meter, free verse, and more. Open to anyone interested in writing poetry and learning about the rudiments of craft. Writing exercises weekly."
"Writing the Novella","01","F22",10,12,"Wednesday | 2:00 PM - 5:00 PM",426,"ENGL",NA,NA,NA,"An advanced writing workshop devoted to the reading and writing of novellas. We will study such novellas as Samantha Lan Chang's Hunger, Tolstoy's The Death of Ivan Ilyich, Ted Chiang's The Story of Your Life, and Danielle Evans' The Office of Historical Corrections, in order to get a sense of the parameters and scope of this in-between form. Students will write up to ten pages per week with the aim of composing and revising a work of 70-80 pages by the end of the semester."
"Writing the Past","01","F22",17,25,"Tuesday/Thursday | 1:00 PM - 2:20 PM",301,"HIST",NA,NA,NA,"This course offers an opportunity for history majors and students intrigued by the past to reflect upon the practice of history. How do we claim to know anything about the past at all? How do historians construct the stories they tell about the past from the fragmentary remnants of former times? What is the connection between the past as it was lived and the narratives that historians write? How do we judge the truth and value of these histories and memories? The course explores questions such as these through readings and case studies drawn from a variety of places and times. A central aim of the course is to give students a sense of how the discipline of History has developed over time, as new theories and agendas have emerged, and as earlier versions of the past have been reevaluated in light of changing circumstances and commitments. Requirements include active participation in class and multiple graded and ungraded written assignments. Two meetings per week.Not open to first-year students."
"Youth School Pop Culture","01","F22",24,25,"Tuesday/Thursday | 10:00 AM - 11:20 AM",203,"AMST","EDST","SOCI",NA,"What do we understand about schools, teachers, and students through our engagement with popular culture? How do we interrogate youth clothing as a site of cultural expression and school-based control? How do race, class, and gender shape how youth make sense of and navigate cultural events such as the prom? Contemporary educational debates often position schools and popular culture as oppositional and as vying for youth's allegiance. Yet schools and popular culture overlap as educational sites in the lives of youth. In this course, we will employ feminist, critical race, and cultural studies perspectives to analyze representations of schooling and youth in popular culture. By doing so, we will consider the historically shifting meaning of youth, interrogate an oppositional stance to school and popular culture, and examine relationships of power and representation in educational sites. Readings, class discussions, and frequent film screenings will support our examination."
"Algorithms","02","F22",24,0,"Monday/Wednesday/Friday | 2:00 PM - 2:50 PM",311,"COSC",NA,NA,NA,"This course addresses the design and analysis of computer algorithms. Topics include: set algorithms such as sorting and searching, graph algorithms, string algorithms, and matrix algorithms. Algorithm design paradigms, including the divide-and-conquer, dynamic programming, and greedy paradigms, will be emphasized. The course will end with a discussion of the theory of NP-completeness and its implications."
"An Intro to Economics","02","F22",49,60,"Monday/Wednesday | 12:30 PM - 1:50 PM",111,"ECON",NA,NA,NA,"A study of the central problem of scarcity and of the ways in which the U.S. economic system allocates scarce resources among competing ends and apportions the goods produced among people. Two 80-minute and one 50-minute lecture/discussion per week.Requisite for all other courses in Economics."
"Data Science","02","F22",21,24,"Tuesday/Thursday | 11:30 AM - 12:50 PM",231,"STAT",NA,NA,NA,"Computational data analysis is an essential part of modern statistics and data science. This course provides a practical foundation for students to think with data by participating in the entire data analysis cycle. Students will generate statistical questions and then address them through data acquisition, cleaning, transforming, modeling, and interpretation. This course will introduce students to tools for data management, wrangling, and databases that are common in data science and will apply those tools to real-world applications. Students will undertake practical analyses of large, complex, and messy data sets leveraging modern computing tools."
"Data Structures","02","F22",21,0,"Tuesday/Thursday | 1:00 PM - 2:20 PM",211,"COSC",NA,NA,NA,"A fundamental problem in computer science is that of organizing data so that it can be used effectively. This course introduces basic data structures and their applications. Major themes are the importance of abstraction in program design and the separation of specification and implementation. Program correctness and algorithm complexity are also considered. Data structures for lists, stacks, queues, dictionaries, sets, and graphs are discussed. This course will provide advanced programming experience."
"Elementary French","02","F22",4,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",101,"FREN",NA,NA,NA,"This course features intensive work on French grammar, with emphasis on the acquisition of basic active skills. We will be using the multimedia program, Totem, which employs only authentic French, allowing students to use the language colloquially and creatively in a short amount of time. Three hours a week for explanation and demonstration, plus small sections with French assistants. This course prepares students for FREN 103. For students without previous training in French."
"Elementary German I","02","F22",9,0,"Monday/Wednesday/Friday | 1:00 PM - 1:50 PM",101,"GERM",NA,NA,NA,"Our multimedia course acquaints students with present day life and culture in Germany, Austria and Switzerland. Authentic documents and interviews with native speakers from all walks of life serve as a first-hand introduction to the German-speaking countries. An interactive learning software, as well as related Internet audio-visual materials emphasize the mastery of speaking, writing, and reading skills that are the foundation for further study. Three hours a week for explanation and demonstration, one hour a week in small TA sections."
"Fiction Writing I","02","F22",15,15,"Wednesday | 2:00 PM - 5:00 PM",226,"ENGL",NA,NA,NA,"A first course in writing fiction. Emphasis will be on experimentation as well as on developing skill and craft. Workshop format."
"Groups, Rings and Fields","02","F22",21,25,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",350,"MATH",NA,NA,NA,"A brief consideration of properties of sets, mappings, and the system of integers, followed by an introduction to the theory of groups and rings including the principal theorems on homomorphisms and the related quotient structures; integral domains, fields, polynomial rings. Four class hours per week."
"Intermediate Calculus","02","F22",54,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",121,"MATH",NA,NA,NA,"A continuation of MATH 111. Inverse trigonometric and hyperbolic functions; methods of integration, both exact and approximate; applications of integration to volume and arc length; improper integrals; l'H^opital's rule; infinite series, power series and the Taylor development; and polar coordinates. Four class hours per week."
"Intermediate Statistics","02","F22",21,24,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",230,"STAT",NA,NA,NA,"This course is an intermediate applied statistics course that builds on the statistical data analysis methods introduced in STAT 111 or STAT 135. Students will learn how to pose a statistical question, perform appropriate statistical analysis of the data, and properly interpret and communicate their results. Emphasis will be placed on the use of statistical software, data wrangling, model fitting, and assessment. Topics covered will include ethics, experimental design, resampling approaches, analysis of variance models, multiple regression, model selection, and logistic regression. No prior experience with statistical software is expected"
"Intro Comp Science II","02","F22",32,40,"Wednesday/Friday | 1:00 PM - 1:50 PM",112,"COSC",NA,NA,NA,"A continuation of COSC 111. This course will emphasize more complicated problems and their algorithmic solutions. The object-oriented programming paradigm will be discussed in detail, including data abstraction, inheritance, and polymorphism. Other topics will include stacks, queues, linked lists, programming for graphical user interfaces, and basic topics in probability. A laboratory section will meet once a week to give students practice with programming constructs."
"Intro Computer Science I","02","F22",35,45,"Monday/Wednesday | 10:00 AM - 10:50 AM",111,"COSC",NA,NA,NA,"This course introduces ideas and techniques that are fundamental to computer science. The course emphasizes procedural abstraction, algorithmic methods, and structured design techniques. Students will gain a working knowledge of a block-structured programming language and will use the language to solve a variety of problems illustrating ideas in computer science. A selection of other elementary topics will be presented. A laboratory section will meet once a week to give students practice with programming constructs. Two class hours and one one-hour laboratory per week.Restricted to Amherst College students."
"Intro French Lit & Cult","02","F22",7,0,"Tuesday/Thursday | 10:00 AM - 11:20 AM",207,"FREN",NA,NA,NA,"Through class discussion, debates, and frequent short papers, students develop effective skills in self-expression, analysis, and interpretation. Literary texts, articles on current events, and films are studied within the context of the changing structures of French society and France's complex relationship to its recent past. Assignments include both creative and analytic approaches to writing. Some grammar review as necessary, as well as work on understanding spoken French using video materials. Highly recommended for students planning to study abroad."
"Intro to Analysis","02","F22",28,29,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",355,"MATH",NA,NA,NA,"Completeness of the real numbers; topology of n-space including the Bolzano-Weierstrass and Heine-Borel theorems; sequences, properties of continuous functions on sets; infinite series, uniform convergence. The course may also study the Gamma function, Stirling's formula, or Fourier series. Four class hours per week."
"Intro to Psychology","02","F22",41,40,"Tuesday/Thursday | 8:30 AM - 9:50 AM",100,"PSYC",NA,NA,NA,"An introduction to the nature of psychological inquiry regarding the origins, variability, and change of human behavior. As such, the course focuses on the nature-nurture controversy, the processes associated with cognitive and emotional development, the role of personal characteristics and situational conditions in shaping behavior, and various approaches to psychotherapy.Not open to five college students."
"Intro to Stat Modeling","02","F22",22,24,"Monday/Wednesday/Friday | 2:00 PM - 2:50 PM",135,"MATH","STAT",NA,NA,"This course is an introductory statistics course that uses modeling as a unifying framework. The course provides a basic foundation in statistics with a major emphasis on constructing models from data. Students learn important concepts of statistics by mastering powerful and relatively advanced statistical techniques using computational tools. Topics include descriptive and inferential statistics, visualization, probability, study design, and multiple regression. Students who have taken a semester of calculus or who are majoring or planning to major in mathematics and/or statistics should take this course instead of STAT 111. No prior experience with statistical software is expected."
"Intro to the Calculus","02","F22",30,0,"Monday/Wednesday/Friday | 9:00 AM - 9:50 AM",111,"MATH",NA,NA,NA,"Basic concepts of limits, derivatives, anti-derivatives; applications, including max/min problems and related rates; the definite integral, simple applications; trigonometric functions; logarithms and exponential functions. Four class hours per week."
"Introduction to Music","02","F22",23,24,"Tuesday/Thursday | 10:00 AM - 11:20 AM",111,"MUSI",NA,NA,NA,"This course is intended for students with little or no background in music who would like to develop a theoretical and practical understanding of how music works. Students will be introduced to the technical details of music such as musical notation, intervals, basic harmony, meter and rhythm. Familiarity with basic music theory will enable students to read and perform at sight as well as provide an introduction to the composition of melodies with chordal accompaniment. The music we analyze and perform will draw from folk, popular, and concert traditions. Assignments will include oral and written exercises, and preparation of music for class performance. This course serves as a requisite for many Music Department offerings. Students with some musical experience contemplating MUSI 111 are encouraged to take a self-administered placement exam available at the Music Department website. Students are also encouraged to discuss placement in music theory with a member of the Music Department."
"Lie Groups/Lie Algebras","02","F22",18,25,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",405,"MATH",NA,NA,NA,"Lie groups and Lie algebras appear naturally in the study of symmetries of geometric objects. Lie algebras carry local information and can be studied using tools from linear algebra. Finite dimensional Lie groups can be constructed using techniques from calculus and group theory.This course serves as a first introduction to Lie groups and Lie algebras. We will examine the structure of finite dimensional matrix Lie groups, the exponential and differentiation maps, as well as compact Lie groups. We will also study Lie algebras, ideals and homomorphisms, nilpotent and solvable Lie algebras, Cartan subalgebras, semisimplicity and root systems, and the classification of semisimple Lie algebras. This classification is not only a fundamental result in Lie Theory, but is also an archetype of classifications that appear in other areas of math. More amazingly, this classification is embodied in simple combinatorial pictures called Dynkin diagrams, which underlie surprisingly disparate fields, such as geometric group theory, quiver representation theory, and string theory. Four class meetings per week."
"Linear Algebra","02","F22",22,0,"Monday/Wednesday/Friday | 12:00 PM - 12:50 PM",271,"MATH",NA,NA,NA,"The study of vector spaces over the real and complex numbers, introducing the concepts of subspace, linear independence, basis, and dimension; systems of linear equations and their solution by Gaussian elimination; matrix operations; linear transformations and their representations by matrices; eigenvalues and eigenvectors; and inner product spaces. MATH 271 will feature both proofs and applications, with special attention paid to the theoretical development of the subject. Four class meetings per week."
"Literature and Culture","02","F22",8,20,"Tuesday/Thursday | 8:30 AM - 9:50 AM",301,"LLAS","SPAN",NA,NA,"This course provides an introduction to the diverse literatures and cultures of the Spanish-speaking world over the course of six centuries, from the Middle Ages to the twentieth century. Students will learn the tools, language, and critical vocabulary for advanced work reading the canon of Hispanic literatures from Spain, Latin America and the Caribbean Basin, identifying aesthetic trends, historical periods and diverse genres such as poetry, narrative, theater and film. The syllabus will include a wide variety of authors of different national, political, and artistic persuasions and an array of linguistic styles. This course prepares students for advanced work in Spanish and for study abroad."
"Mathematical Reasoning","02","F22",15,25,"Monday/Wednesday/Friday | 9:00 AM - 9:50 AM",220,"MATH",NA,NA,NA,"This course serves as an introduction to mathematical reasoning and pays particular attention to helping students learn how to write proofs. The topics covered may include logic, elementary set theory, functions, relations and equivalence relations, mathematical induction, sequences, and quantifiers. Additional topics may vary from semester to semester. Four class hours per week."
"Multivariable Calculus","02","F22",23,0,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",211,"MATH",NA,NA,NA,"Elementary vector calculus; introduction to partial derivatives; multiple integrals in two and three dimensions; line integrals in the plane; Green's theorem; the Taylor development and extrema of functions of several variables; implicit function theorems; Jacobians. Four class hours per week."
